Date,SteamInGame,NewCase,NewGamePublish,US_lockdown,US_case
23-Jan,4257682,97,632,0,0
24-Jan,4477416,266,632,0,1
25-Jan,5333481,453,632,0,0
26-Jan,5742563,673,632,0,3
27-Jan,4659271,797,632,0,0
28-Jan,4648905,"1,767",632,0,0
29-Jan,4783442,"1,480",632,0,0
30-Jan,4624876,"1,756",632,0,1
31-Jan,4996661,"2,001",632,0,1
1-Feb,5744660,"2,122",718,0,1
2-Feb,5956968,"2,608",718,0,0
3-Feb,4735403,"2,818",718,0,3
4-Feb,4715687,"3,243",718,0,0
5-Feb,4717687,"3,908",718,0,0
6-Feb,4764300,"3,751",718,0,1
7-Feb,5078430,"3,218",718,0,0
8-Feb,5868518,"3,442",718,0,0
9-Feb,6079346,"2,618",718,0,0
10-Feb,4864125,"2,992",718,0,0
11-Feb,4766942,"2,562",718,0,1
12-Feb,4795018,"2,072",718,0,0
13-Feb,4766286,"15,151",718,0,2
14-Feb,4954127,"4,215",718,0,0
15-Feb,5818960,"2,560",718,0,0
16-Feb,6006438,"2,162",718,0,0
17-Feb,4891700,"2,067",718,0,0
18-Feb,4750502,"1,995",718,0,0
19-Feb,4846427,"1,864",718,0,0
20-Feb,4787693,532,718,0,0
21-Feb,5108887,996,718,0,19
22-Feb,5770588,"1,085",718,0,1
23-Feb,5913126,"1,009",718,0,0
24-Feb,4974675,523,718,0,18
25-Feb,4709505,793,718,0,0
26-Feb,4744667,867,718,0,6
27-Feb,4678411,"1,114",718,0,0
28-Feb,5107474,"1,266",718,0,3
29-Feb,5916547,"1,859",718,0,0
1-Mar,5975759,"1,826",721,0,0
2-Mar,4719244,"2,087",721,0,2
3-Mar,4675612,"1,857",721,0,44
4-Mar,4713766,"2,312",721,0,21
5-Mar,4670589,"2,354",721,0,0
6-Mar,5093298,"3,058",721,0,84
7-Mar,5895577,"4,120",721,0,0
8-Mar,5943472,"3,977",721,0,0
9-Mar,4875102,"4,177",721,0,259
10-Mar,4587442,"4,816",721,1,224
11-Mar,4749839,"5,107",721,1,0
12-Mar,4888209,"7,898",721,1,291
13-Mar,5362265,"9,451",721,1,277
14-Mar,6267991,"10,404",721,1,414
15-Mar,6395544,"12,165",721,1,36
16-Mar,5487638,"12,455",721,1,0
17-Mar,5628454,"14,201",721,1,1822
18-Mar,5705771,"17,006",721,1,3551
19-Mar,5831719,"20,214",721,1,3351
20-Mar,6233758,"31,094",721,1,4777
21-Mar,7023517,"31,910",721,1,0
22-Mar,7095128,"34,207",721,1,0
23-Mar,6161410,"34,357",721,1,16354
24-Mar,6168326,"44,415",721,1,20341
25-Mar,6146844,"42,386",721,1,0
26-Mar,6185454,"53,750",721,1,16420
27-Mar,6362929,"61,016",721,1,0
28-Mar,6973848,"65,095",721,1,16894
29-Mar,7248887,"62,814",721,1,18093
30-Mar,6522751,"57,363",721,1,19332
31-Mar,6564922,"64,488",721,1,17987
1-Apr,6742396,"74,674",796,1,22559
2-Apr,6684268,"77,473",796,1,24103
3-Apr,7099461,"77,458",796,1,26298
4-Apr,8171592,"81,830",796,1,28103
5-Apr,7484357,"85,243",796,1,32105
6-Apr,6640041,"66,276",796,1,33510
7-Apr,6456119,"72,988",796,1,26493
8-Apr,6436290,"77,267",796,1,29510
9-Apr,6551717,"84,920",796,1,31709
10-Apr,7088284,"87,264",796,1,30859
11-Apr,7386720,"89,512",796,1,35386
12-Apr,7294790,"75,314",796,1,31606
13-Apr,7095876,"68,528",796,1,31633
14-Apr,6547252,"64,720",796,1,29308
15-Apr,6307467,"76,496",796,1,24446
16-Apr,6282696,"78,348",796,1,25802
17-Apr,6623460,"83,941",796,1,28711
18-Apr,7236257,"81,779",796,1,32549
19-Apr,7114871,"79,563",796,1,30023
20-Apr,6273947,"70,562",796,1,28252
21-Apr,6176044,"73,735",796,1,27668
22-Apr,6169236,"86,665",796,1,25634
23-Apr,6167214,"66,344",796,1,24019
24-Apr,6567607,"78,485",796,1,29127
25-Apr,6909976,"72,792",796,1,30719
26-Apr,6935435,"99,782",796,1,38509
27-Apr,6085159,"81,677",796,1,32417
28-Apr,6145062,"65,820",796,1,29218
29-Apr,6110546,"72,254",796,1,22541
30-Apr,6271415,"78,802",796,1,20517
1-May,6789794,"85,333",837,1,31379
2-May,6832629,"88,667",837,1,31774
3-May,6862591,"80,628",837,1,26753
4-May,6098599,"77,165",837,1,31839
5-May,5956324,"76,536",837,1,29266
6-May,5831991,"78,683",837,1,16200
7-May,5770705,"87,557",837,1,22267
8-May,6071742,"92,424",837,1,22119
9-May,6518556,"89,211",837,1,30204
10-May,6549790,"88,843",837,1,25870
11-May,5889098,"74,694",837,1,26642
12-May,5749316,"69,734",837,1,23767
13-May,5718905,"86,213",837,1,18044
14-May,5708156,"86,257",837,1,21424
15-May,5828379,"96,543",837,1,20840
16-May,6262992,"97,219",837,1,27090
17-May,6428343,"92,935",837,1,22813
18-May,5737533,"79,503",837,1,31967
19-May,5707198,"86,367",837,1,13227
20-May,5605330,"95,544",837,1,24417
